Data,Producer 1 (kW),Producer 2 (kW),Producer 3 (kW),Total (kW)
01/01/2019 00:15:00,0,0,0,0
01/01/2019 00:30:00,0,0,0,0
01/01/2019 00:45:00,0,0,0,0
01/01/2019 01:00:00,0,0,0,0
01/01/2019 01:15:00,0,0,0,0
01/01/2019 01:30:00,0,0,0,0
01/01/2019 01:45:00,0,0,0,0
01/01/2019 02:00:00,0,0,0,0
01/01/2019 02:15:00,0,0,0,0
01/01/2019 02:30:00,0,0,0,0
01/01/2019 02:45:00,0,0,0,0
01/01/2019 03:00:00,0,0,0,0
01/01/2019 03:15:00,0,0,0,0
01/01/2019 03:30:00,0,0,0,0
01/01/2019 03:45:00,0,0,0,0
01/01/2019 04:00:00,0,0,0,0
01/01/2019 04:15:00,0,0,0,0
01/01/2019 04:30:00,0,0,0,0
01/01/2019 04:45:00,0,0,0,0
01/01/2019 05:00:00,0,0,0,0
01/01/2019 05:15:00,0,0,0,0
01/01/2019 05:30:00,0,0,0,0
01/01/2019 05:45:00,0,0,0,0
01/01/2019 06:00:00,0,0,0,0
01/01/2019 06:15:00,0,0,0,0
01/01/2019 06:30:00,0,0,0,0
01/01/2019 06:45:00,0,0,0,0
01/01/2019 07:00:00,0,0,0,0
01/01/2019 07:15:00,0,0,0,0
01/01/2019 07:30:00,0,0,0,0
01/01/2019 07:45:00,0,0,0,0
01/01/2019 08:00:00,0,0,0,0
01/01/2019 08:15:00,0.012,0.004,0.001,0.017
01/01/2019 08:30:00,0.084,0.13,0.012,0.226
01/01/2019 08:45:00,0.567,0.473,0.028,1.068
01/01/2019 09:00:00,0.942,0.732,0.043,1.717
01/01/2019 09:15:00,1.121,1.003,0.055,2.179
01/01/2019 09:30:00,1.081,1.182,0.071,2.334
01/01/2019 09:45:00,1.787,1.346,0.086,3.219
01/01/2019 10:00:00,2.01,1.488,0.108,3.606
01/01/2019 10:15:00,2.193,1.603,0.136,3.932
01/01/2019 10:30:00,2.361,1.695,0.146,4.202
01/01/2019 10:45:00,2.502,1.756,0.174,4.432
01/01/2019 11:00:00,2.612,1.807,0.401,4.82
01/01/2019 11:15:00,2.701,1.874,0.439,5.014
01/01/2019 11:30:00,2.755,1.918,0.242,4.915
01/01/2019 11:45:00,2.823,1.926,0.113,4.862
01/01/2019 12:00:00,2.837,1.92,0.155,4.912
01/01/2019 12:15:00,2.842,1.904,0.162,4.908
01/01/2019 12:30:00,2.849,1.872,0.155,4.876
01/01/2019 12:45:00,2.832,1.833,0.147,4.812
01/01/2019 13:00:00,2.784,1.79,0.157,4.731
01/01/2019 13:15:00,2.693,1.768,0.171,4.632
01/01/2019 13:30:00,2.651,1.729,0.19,4.57
01/01/2019 13:45:00,1.04,1.665,0.812,3.517
01/01/2019 14:00:00,0.474,1.594,1.58,3.648
01/01/2019 14:15:00,0.452,1.509,1.518,3.479
01/01/2019 14:30:00,1.056,1.406,0.989,3.451
01/01/2019 14:45:00,0.916,1.283,0.79,2.989
01/01/2019 15:00:00,1.505,1.155,0.708,3.368
01/01/2019 15:15:00,0.587,0.776,0.272,1.635
01/01/2019 15:30:00,0.993,0.554,0.17,1.717
01/01/2019 15:45:00,1.1,0.679,0.218,1.997
01/01/2019 16:00:00,0.674,0.429,0.13,1.233
01/01/2019 16:15:00,0.627,0.337,0.101,1.065
01/01/2019 16:30:00,0.49,0.214,0.08,0.784
01/01/2019 16:45:00,0.361,0.136,0.064,0.561
01/01/2019 17:00:00,0.131,0.038,0.03,0.199
01/01/2019 17:15:00,0.021,0.001,0.005,0.027
01/01/2019 17:30:00,0,0,0,0
01/01/2019 17:45:00,0,0,0,0
01/01/2019 18:00:00,0,0,0,0
01/01/2019 18:15:00,0,0,0,0
01/01/2019 18:30:00,0,0,0,0
01/01/2019 18:45:00,0,0,0,0
01/01/2019 19:00:00,0,0,0,0
01/01/2019 19:15:00,0,0,0,0
01/01/2019 19:30:00,0,0,0,0
01/01/2019 19:45:00,0,0,0,0
01/01/2019 20:00:00,0,0,0,0
01/01/2019 20:15:00,0,0,0,0
01/01/2019 20:30:00,0,0,0,0
01/01/2019 20:45:00,0,0,0,0
01/01/2019 21:00:00,0,0,0,0
01/01/2019 21:15:00,0,0,0,0
01/01/2019 21:30:00,0,0,0,0
01/01/2019 21:45:00,0,0,0,0
01/01/2019 22:00:00,0,0,0,0
01/01/2019 22:15:00,0,0,0,0
01/01/2019 22:30:00,0,0,0,0
01/01/2019 22:45:00,0,0,0,0
01/01/2019 23:00:00,0,0,0,0
01/01/2019 23:15:00,0,0,0,0
01/01/2019 23:30:00,0,0,0,0
01/01/2019 23:45:00,0,0,0,0
02/01/2019 00:00:00,0,0,0,0
02/01/2019 00:15:00,0,0,0,0
02/01/2019 00:30:00,0,0,0,0
02/01/2019 00:45:00,0,0,0,0
02/01/2019 01:00:00,0,0,0,0
02/01/2019 01:15:00,0,0,0,0
02/01/2019 01:30:00,0,0,0,0
02/01/2019 01:45:00,0,0,0,0
02/01/2019 02:00:00,0,0,0,0
02/01/2019 02:15:00,0,0,0,0
02/01/2019 02:30:00,0,0,0,0
02/01/2019 02:45:00,0,0,0,0
02/01/2019 03:00:00,0,0,0,0
02/01/2019 03:15:00,0,0,0,0
02/01/2019 03:30:00,0,0,0,0
02/01/2019 03:45:00,0,0,0,0
02/01/2019 04:00:00,0,0,0,0
02/01/2019 04:15:00,0,0,0,0
02/01/2019 04:30:00,0,0,0,0
02/01/2019 04:45:00,0,0,0,0
02/01/2019 05:00:00,0,0,0,0
02/01/2019 05:15:00,0,0,0,0
02/01/2019 05:30:00,0,0,0,0
02/01/2019 05:45:00,0,0,0,0
02/01/2019 06:00:00,0,0,0,0
02/01/2019 06:15:00,0,0,0,0
02/01/2019 06:30:00,0,0,0,0
02/01/2019 06:45:00,0,0,0,0
02/01/2019 07:00:00,0,0,0,0
02/01/2019 07:15:00,0,0,0,0
02/01/2019 07:30:00,0,0,0,0
02/01/2019 07:45:00,0,0,0,0
02/01/2019 08:00:00,0,0,0,0
02/01/2019 08:15:00,0.004,0.001,0.001,0.006
02/01/2019 08:30:00,0.04,0.045,0.015,0.1
02/01/2019 08:45:00,0.102,0.168,0.032,0.302
02/01/2019 09:00:00,0.299,0.379,0.051,0.729
02/01/2019 09:15:00,0.492,0.835,0.064,1.391
02/01/2019 09:30:00,0.841,1.072,0.081,1.994
02/01/2019 09:45:00,1.552,1.267,0.098,2.917
02/01/2019 10:00:00,1.898,1.412,0.126,3.436
02/01/2019 10:15:00,2.153,1.541,0.163,3.857
02/01/2019 10:30:00,2.299,1.639,0.191,4.129
02/01/2019 10:45:00,2.461,1.74,0.212,4.413
02/01/2019 11:00:00,2.576,1.796,0.386,4.758
02/01/2019 11:15:00,2.641,1.807,0.383,4.831
02/01/2019 11:30:00,2.668,1.84,0.232,4.74
02/01/2019 11:45:00,2.768,1.891,0.195,4.854
02/01/2019 12:00:00,2.806,1.89,0.203,4.899
02/01/2019 12:15:00,2.875,1.896,0.208,4.979
02/01/2019 12:30:00,2.881,1.89,0.211,4.982
02/01/2019 12:45:00,2.454,1.834,0.226,4.514
02/01/2019 13:00:00,1.486,1.825,0.259,3.57
02/01/2019 13:15:00,2.737,1.746,0.251,4.734
02/01/2019 13:30:00,2.692,1.7,0.258,4.65
02/01/2019 13:45:00,2.622,1.654,0.883,5.159
02/01/2019 14:00:00,1.032,1.601,1.595,4.228
02/01/2019 14:15:00,2.397,1.51,1.554,5.461
02/01/2019 14:30:00,2.238,1.397,1.037,4.672
02/01/2019 14:45:00,2.081,1.289,0.793,4.163
02/01/2019 15:00:00,1.906,1.153,0.786,3.845
02/01/2019 15:15:00,1.74,1.02,0.395,3.155
02/01/2019 15:30:00,1.568,0.893,0.183,2.644
02/01/2019 15:45:00,1.313,0.715,0.207,2.235
02/01/2019 16:00:00,1.036,0.545,0.17,1.751
02/01/2019 16:15:00,0.782,0.393,0.129,1.304
02/01/2019 16:30:00,0.53,0.247,0.097,0.874
02/01/2019 16:45:00,0.306,0.129,0.07,0.505
02/01/2019 17:00:00,0.124,0.046,0.038,0.208
02/01/2019 17:15:00,0.013,0.001,0.007,0.021
02/01/2019 17:30:00,0,0,0,0
02/01/2019 17:45:00,0,0,0,0
02/01/2019 18:00:00,0,0,0,0
02/01/2019 18:15:00,0,0,0,0
02/01/2019 18:30:00,0,0,0,0
02/01/2019 18:45:00,0,0,0,0
02/01/2019 19:00:00,0,0,0,0
02/01/2019 19:15:00,0,0,0,0
02/01/2019 19:30:00,0,0,0,0
02/01/2019 19:45:00,0,0,0,0
02/01/2019 20:00:00,0,0,0,0
02/01/2019 20:15:00,0,0,0,0
02/01/2019 20:30:00,0,0,0,0
02/01/2019 20:45:00,0,0,0,0
02/01/2019 21:00:00,0,0,0,0
02/01/2019 21:15:00,0,0,0,0
02/01/2019 21:30:00,0,0,0,0
02/01/2019 21:45:00,0,0,0,0
02/01/2019 22:00:00,0,0,0,0
02/01/2019 22:15:00,0,0,0,0
02/01/2019 22:30:00,0,0,0,0
02/01/2019 22:45:00,0,0,0,0
02/01/2019 23:00:00,0,0,0,0
02/01/2019 23:15:00,0,0,0,0
02/01/2019 23:30:00,0,0,0,0
02/01/2019 23:45:00,0,0,0,0
03/01/2019 00:00:00,0,0,0,0
03/01/2019 00:15:00,0,0,0,0
03/01/2019 00:30:00,0,0,0,0
03/01/2019 00:45:00,0,0,0,0
03/01/2019 01:00:00,0,0,0,0
03/01/2019 01:15:00,0,0,0,0
03/01/2019 01:30:00,0,0,0,0
03/01/2019 01:45:00,0,0,0,0
03/01/2019 02:00:00,0,0,0,0
